قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
80366.65,109.1,8507,2025,Q1-2025,النرويج
6103306.43,59497.84,7506,2025,Q1-2025,اليابان
20455941.65,276826.763,8538,2025,Q1-2025,إيطاليا
68853.57,41.222,8517,2025,Q1-2025,الكويت
8433.72,903.731,3917,2025,Q1-2025,كوستاريكا
20198418.8343,278319.095,8302,2025,Q1-2025,الولايات المتحدة
1228.39,2.204,6202,2025,Q1-2025,عمان
1600.48,0.75,9620,2025,Q1-2025,هونج كونج
11935.65,11025.63,3301,2025,Q1-2025,المغرب
24086.44,3077.3,9603,2025,Q1-2025,البحرين
481350,49872.1,4823,2025,Q1-2025,الكويت
5251267.91,350526.04,5603,2025,Q1-2025,الهند
772.5,24,4115,2025,Q1-2025,لتوانيا
14451.42,16,7109,2025,Q1-2025,أستراليا
45969071.73,12973999.665,7210,2025,Q1-2025,الإمارات
7404345.1,981849.737,0712,2025,Q1-2025,الصين
74654.91,3369,3503,2025,Q1-2025,مصر
792743.49,5109.65,8484,2025,Q1-2025,بولندا
14600063.14,8699.7,8486,2025,Q1-2025,اليابان
542844.26,3551,0901,2025,Q1-2025,أستراليا
1036575.6,15956.767,0902,2025,Q1-2025,المملكة المتحدة
152400.77,4063.517,4504,2025,Q1-2025,الولايات المتحدة
1380.7,2.1,6404,2025,Q1-2025,بلجيكا
293296.33,3668.72,7607,2025,Q1-2025,إندونيسيا
4795755.14,8822.45,8540,2025,Q1-2025,إيطاليا
11579.79,83.5,5807,2025,Q1-2025,ماليزيا
16837.56,201,7202,2025,Q1-2025,إيطاليا
34280.55,124.971,8413,2025,Q1-2025,المغرب
2235.6,34,2008,2025,Q1-2025,تشيلي
3299.42,520.779,6301,2025,Q1-2025,بنجلادش
216852.11,965.8,8536,2025,Q1-2025,كرواتيا
257976.4,51291.05,7009,2025,Q1-2025,ماليزيا
2015451.57,459962.68,3809,2025,Q1-2025,الهند
16947203.5954,93148.211,8421,2025,Q1-2025,فرنسا
3839.14,1000.048,1704,2025,Q1-2025,كوريا الجنوبية
243.03,200,8716,2025,Q1-2025,جزر أمريكا الثانوية
41589.17,4928,4421,2025,Q1-2025,كوريا الجنوبية
643034.53,12064.444,3913,2025,Q1-2025,الولايات المتحدة
728420.49,11036.25,3912,2025,Q1-2025,فرنسا
345770.39,3609.142,7612,2025,Q1-2025,ألمانيا
332553.73,8846,7616,2025,Q1-2025,بلجيكا
104686.47,108.986,9027,2025,Q1-2025,أوروبا
5371682.35,125215.25,8402,2025,Q1-2025,إيطاليا
5084316.76,3051.467,9021,2025,Q1-2025,كندا
18.41,5.26,6116,2025,Q1-2025,اليونان
2154946.87,8356.024,8473,2025,Q1-2025,اليابان
61943.48,81.7,7117,2025,Q1-2025,لتوانيا
4721844.9019,288769.71,2103,2025,Q1-2025,إسبانيا
368948.1,13081,0304,2025,Q1-2025,عمان
37016097.6954,2204901.41,7307,2025,Q1-2025,الهند
3249054.38,86073,7408,2025,Q1-2025,تركيا
12850.85,923.6,3901,2025,Q1-2025,بولندا
14316.75,4336,9606,2025,Q1-2025,كوريا الجنوبية
20956460.2303,12574.388,4202,2025,Q1-2025,فرنسا
46056,1500,3404,2025,Q1-2025,اليابان
3215581.06,235281,3005,2025,Q1-2025,مصر
21951.93,168.1,9032,2025,Q1-2025,اليونان
3123.6641,89,7322,2025,Q1-2025,إندونيسيا
10058.37,188.05,8214,2025,Q1-2025,لاتفيا
5648882.42,408762.528,6812,2025,Q1-2025,الصين
1207901.76,5726.68,8460,2025,Q1-2025,إيطاليا
29885.53,31.05,6101,2025,Q1-2025,فرنسا
59356.52,29,8431,2025,Q1-2025,لوكسمبورج
6975.59,3.795,9113,2025,Q1-2025,مكسيك
297356.57,27932,4016,2025,Q1-2025,باكستان
642525.15,380.43,8471,2025,Q1-2025,النمسا
11947.15,158.68,8506,2025,Q1-2025,هولندا
23916.33,861.7,5516,2025,Q1-2025,الولايات المتحدة
46375.95,108.7,9703,2025,Q1-2025,البحرين
6894.6,39.722,7412,2025,Q1-2025,مكسيك
1161520.45,16016,3002,2025,Q1-2025,المغرب
626012.24,213641.65,4816,2025,Q1-2025,الصين
3025246.72,79727.362,8208,2025,Q1-2025,ألمانيا
2874077.42,73049.67,7409,2025,Q1-2025,كوريا الجنوبية
24154302.92,1441352.1,0406,2025,Q1-2025,جنوب إفريقيا
2849526.76,78472,7403,2025,Q1-2025,روسيا
666608.462,16917.26,6813,2025,Q1-2025,المملكة المتحدة
4944600.98,351203,1901,2025,Q1-2025,مالطة
123375.15,4204.5,0907,2025,Q1-2025,الإمارات
7655574.39,1383711,4811,2025,Q1-2025,فنلندا
182260.76,6687.104,2101,2025,Q1-2025,بلجيكا
250884.33,2035.09,4017,2025,Q1-2025,النمسا
86.66,21320,4401,2025,Q1-2025,لتوانيا
2784486.87,262360.25,5703,2025,Q1-2025,هولندا
3998.67,29,6307,2025,Q1-2025,الكويت
3089.79,1040,7607,2025,Q1-2025,قطر
169597.35,46279.16,2103,2025,Q1-2025,سوريا
5056707.01,19437.673,8409,2025,Q1-2025,هولندا
3826542.82,631265.352,2912,2025,Q1-2025,الهند
43999.46,1491.938,4819,2025,Q1-2025,ألبانيا
723755.33,225.075,2918,2025,Q1-2025,جمهورية التشيك
474687.86,25362.95,6308,2025,Q1-2025,مصر
5507.32,13.426,3305,2025,Q1-2025,عمان
68885724.44,173046.647,8411,2025,Q1-2025,ألمانيا
675,4.5,5201,2025,Q1-2025,تركيا
5533.11,1398,8402,2025,Q1-2025,رومانيا
225.96,36,3920,2025,Q1-2025,بلغاريا
186082.93,524.922,8533,2025,Q1-2025,اليابان
31943.88,741.738,4911,2025,Q1-2025,اليابان
59033.34,3578,2104,2025,Q1-2025,كندا
73952.04,715,7608,2025,Q1-2025,إيطاليا
156682.39,5242,3910,2025,Q1-2025,مصر
108595.22,1653.42,4017,2025,Q1-2025,فرنسا
8164.98,98.9,7408,2025,Q1-2025,السويد
50937.1,1691.63,2910,2025,Q1-2025,ألمانيا
297555.09,4419.5,9402,2025,Q1-2025,هولندا
3488.04,36.2,6001,2025,Q1-2025,إسبانيا
400459.16,20755.5,1704,2025,Q1-2025,تونس
265.25,6,8206,2025,Q1-2025,بلجيكا
715593.89,1626.94,8511,2025,Q1-2025,كندا
135707.55,172.5,8208,2025,Q1-2025,جمهورية التشيك
3.92,1,1904,2025,Q1-2025,هنجاريا
468.41,89,8503,2025,Q1-2025,المغرب
2355.35,3.3,8534,2025,Q1-2025,النمسا
242323.1065,1625.152,6105,2025,Q1-2025,سريلانكا
7741.37,184.31,4203,2025,Q1-2025,السويد
132724.41,140.2,9023,2025,Q1-2025,جمهورية التشيك
319.55,0.05,2931,2025,Q1-2025,كندا
1118.52,2,7412,2025,Q1-2025,تشيلي
37.89,1,9021,2025,Q1-2025,لوكسمبورج
3968.15,10.8,5910,2025,Q1-2025,فنلندا
15017.58,162.7,8538,2025,Q1-2025,قبرص
4531642.17,597.917,8542,2025,Q1-2025,سنغافورة
3420.34,1718,8537,2025,Q1-2025,كمبوديا
206068.55,131.12,9029,2025,Q1-2025,سويسرا
216.17,1401,4821,2025,Q1-2025,إندونيسيا
1466.45,2,9027,2025,Q1-2025,تونس
39555.48,3674.99,6914,2025,Q1-2025,الإمارات
64330.01,108.5,7405,2025,Q1-2025,إيطاليا
329440.01,143770,4810,2025,Q1-2025,سلوفاكيا
63805.51,235,8464,2025,Q1-2025,إسبانيا
120353.69,208.103,6108,2025,Q1-2025,البرتغال
16062.53,148.32,8203,2025,Q1-2025,البرازيل
1075.05,2.6,8433,2025,Q1-2025,كوريا الجنوبية
1301273.96,12205.54,8414,2025,Q1-2025,سنغافورة
3145.36,25,9026,2025,Q1-2025,لاتفيا
84016423.3798,3083001,8704,2025,Q1-2025,السويد
12723.73,236.69,8508,2025,Q1-2025,سويسرا
20612.49,31.715,9008,2025,Q1-2025,الولايات المتحدة
21297.6,6113.88,2009,2025,Q1-2025,فنلندا
147782.44,359,3006,2025,Q1-2025,بيرو
4806.35,126,7227,2025,Q1-2025,الولايات المتحدة
498169.91,9674,8501,2025,Q1-2025,رومانيا
474739.08,189105,7010,2025,Q1-2025,سوريا
69951.8545,1582.795,6105,2025,Q1-2025,الفلبين
117585.91,206,8208,2025,Q1-2025,ماليزيا
102109102.45,8376931.558,7901,2025,Q1-2025,الهند
17334431.0765,292949.145,7318,2025,Q1-2025,المملكة المتحدة
735,624,6801,2025,Q1-2025,البرازيل
93255.93,138.2,6303,2025,Q1-2025,ألمانيا
15284847.03,1043243.365,3906,2025,Q1-2025,الولايات المتحدة
36221.93,36,2934,2025,Q1-2025,هولندا
1931326.3884,34591.53,8508,2025,Q1-2025,إيطاليا
12254.34,26,9016,2025,Q1-2025,الفلبين
4944.25,33,9031,2025,Q1-2025,كرواتيا
914.05,10,6704,2025,Q1-2025,بولندا
3530696.3,43327.102,9018,2025,Q1-2025,تركيا
119362.45,2134.82,0604,2025,Q1-2025,إيطاليا
3830.43,10,2607,2025,Q1-2025,الولايات المتحدة
32301035.6722,279720.063,8501,2025,Q1-2025,جمهورية التشيك
11418.91,1413.2,2936,2025,Q1-2025,بلجيكا
24612966.5,7814861,7301,2025,Q1-2025,البحرين
0,216,9801,2025,Q1-2025,بنجلادش
5031.43,55,4205,2025,Q1-2025,اليابان
5299.44,3,4202,2025,Q1-2025,قبرص
10050690.53,236505.9,8502,2025,Q1-2025,الإمارات
1742211.03,5250.89,7616,2025,Q1-2025,فرنسا
12768120.2968,32915.962,9032,2025,Q1-2025,المملكة المتحدة
165.34,6,6603,2025,Q1-2025,هولندا
760533.73,56880,7302,2025,Q1-2025,تركيا
29243.4,228.3,4802,2025,Q1-2025,اليابان
9039.12,300,2008,2025,Q1-2025,لتوانيا
696489.8,56288.42,1602,2025,Q1-2025,الدنمارك
7555.91,7,8213,2025,Q1-2025,بلجيكا
248677.15,55,9703,2025,Q1-2025,مالي
226423.82,13080.92,8706,2025,Q1-2025,تايوان
3495.09,25,4420,2025,Q1-2025,إيرلندا
3.75,1,0301,2025,Q1-2025,عمان
2524.2017,22,6201,2025,Q1-2025,موريشيوس
506719.32,13257.7,7308,2025,Q1-2025,سويسرا
3648812.12,12883,8476,2025,Q1-2025,إيطاليا
55581.21,159.4,9612,2025,Q1-2025,ألمانيا
76.76,0.5,7306,2025,Q1-2025,باكستان
54463.1,252,7419,2025,Q1-2025,بلجيكا
3454099.7,275103.04,7309,2025,Q1-2025,تايوان
218749400.977,27120911.016,8302,2025,Q1-2025,الصين
6220.59,60.53,2208,2025,Q1-2025,الولايات المتحدة
1973323.98,1297846,6802,2025,Q1-2025,فلسطين
2010342.35,250981,4411,2025,Q1-2025,البرتغال
2219.05,20,4420,2025,Q1-2025,لاتفيا
1100772.94,211.5,8473,2025,Q1-2025,بلجيكا
5290411.45,825961.446,2103,2025,Q1-2025,الفلبين
1687.5,70,8716,2025,Q1-2025,جزرفيرجين البريطانية
19896.54,78.6,9027,2025,Q1-2025,مصر
532148.79,7729,4811,2025,Q1-2025,مكسيك
59635,3325,9610,2025,Q1-2025,الأردن
428517.75,18208.8,4502,2025,Q1-2025,ماليزيا
135937.36,10000,5402,2025,Q1-2025,عمان
497.35,50,5702,2025,Q1-2025,البحرين
4814460.12,483283.638,6814,2025,Q1-2025,الهند
1196.25,2,7310,2025,Q1-2025,جزر أمريكا الثانوية
1782.77,30,4908,2025,Q1-2025,النمسا
4860.66,500,8903,2025,Q1-2025,جزر أمريكا الثانوية
828.98,3,8533,2025,Q1-2025,اليونان
1069553.38,5330.28,6305,2025,Q1-2025,الولايات المتحدة
18468634.58,1014438.49,2101,2025,Q1-2025,الإمارات
1973211.12,48858.48,7310,2025,Q1-2025,إيطاليا
231000.1157,4525.84,8302,2025,Q1-2025,سلوفاكيا
