قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
1728.75,78,0705,2025,Q2-2025,بلجيكا
2774835.8344,3126.747,4203,2025,Q2-2025,إيطاليا
293757.1,3285.645,8211,2025,Q2-2025,إيطاليا
14382.16,230,6807,2025,Q2-2025,تركيا
17.02,0.5,4905,2025,Q2-2025,البرتغال
3600.26,4.23,8309,2025,Q2-2025,لتوانيا
69733.96,1453,5601,2025,Q2-2025,بولندا
2919465.56,518584,7225,2025,Q2-2025,الهند
312418.27,47606.59,0206,2025,Q2-2025,إسبانيا
2625,3.9,8471,2025,Q2-2025,قبرص
5149.65,1000,8444,2025,Q2-2025,ألمانيا
7139.44,700,2004,2025,Q2-2025,أوغندا
558.3,145.34,8403,2025,Q2-2025,سوازي لاند
300500.89,25392.383,4013,2025,Q2-2025,بولندا
296.76,5.66,6406,2025,Q2-2025,بولندا
2290809.51,11094.85,8418,2025,Q2-2025,هولندا
1780.89,35.2,4017,2025,Q2-2025,بلغاريا
289103.08,25209,7203,2025,Q2-2025,الإمارات
1649.79,15,4904,2025,Q2-2025,الولايات المتحدة
4633.02,1427,4903,2025,Q2-2025,سوريا
760681.5,110000,1401,2025,Q2-2025,كينيا
2746.65,100,6913,2025,Q2-2025,ميانمار
180.45,65,2001,2025,Q2-2025,أذربيجان
664844.81,161363.3,2202,2025,Q2-2025,تايلاند
377.48,2.819,8425,2025,Q2-2025,تايلاند
23.63,1.34,0410,2025,Q2-2025,النرويج
339632.79,13875.909,1905,2025,Q2-2025,إيرلندا
267321.4,1180,8713,2025,Q2-2025,بولندا
7922624.39,312823.75,8716,2025,Q2-2025,المملكة المتحدة
6498473.2,4815.42,8471,2025,Q2-2025,هونج كونج
1.59,1,9608,2025,Q2-2025,جنوب إفريقيا
8078.51,276.31,6403,2025,Q2-2025,أوروبا
6525.25,3180,6907,2025,Q2-2025,البحرين
312392.77,2038.98,8310,2025,Q2-2025,المملكة المتحدة
1074503.27,22542.12,1805,2025,Q2-2025,الأردن
1059.49,78,9801,2025,Q2-2025,ميانمار
19748.14,3,9103,2025,Q2-2025,سويسرا
4.73,1,4821,2025,Q2-2025,سلوفاكيا
11015845.06,4525586,4703,2025,Q2-2025,إندونيسيا
9198053.02,30397.41,9018,2025,Q2-2025,بلجيكا
316921570.82,1321910.965,3004,2025,Q2-2025,إيطاليا
30591.26,2283.943,9208,2025,Q2-2025,الصين
3643873.14,16125.885,8503,2025,Q2-2025,المملكة المتحدة
31.06,30,7318,2025,Q2-2025,كولومبيا
264865.19,25204.5,2008,2025,Q2-2025,سريلانكا
