قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
502594.1771,31682.003,9611,2025,Q3-2025,الصين
93203.23,1702,8427,2025,Q3-2025,هولندا
261460.6,12593.53,6813,2025,Q3-2025,اليونان
109358.8,331.2,8518,2025,Q3-2025,فنلندا
199025.29,511.64,7307,2025,Q3-2025,جمهورية التشيك
90.6,1,8484,2025,Q3-2025,كرواتيا
64691.32,32.53,8422,2025,Q3-2025,هنجاريا
1800957.25,62456.05,8307,2025,Q3-2025,إسبانيا
296812.5,29323,2105,2025,Q3-2025,إندونيسيا
266.82,8.96,0707,2025,Q3-2025,المملكة المتحدة
1656753.56,8135.195,8537,2025,Q3-2025,الفلبين
77967.78,2573.58,3820,2025,Q3-2025,هولندا
189291074.21,204837.11,9018,2025,Q3-2025,إيرلندا
2430046.8,14701.98,8537,2025,Q3-2025,قطر
385920,10770,2849,2025,Q3-2025,الهند
9616.41,230.89,7609,2025,Q3-2025,ألمانيا
602459.64,12993.904,8516,2025,Q3-2025,أوكرانيا
3296.35,27,1301,2025,Q3-2025,المملكة المتحدة
4604.96,1728,1104,2025,Q3-2025,الكويت
205246.46,30861.261,6301,2025,Q3-2025,تركيا
6615.33,43,8467,2025,Q3-2025,البرتغال
133125,10000,2936,2025,Q3-2025,هولندا
11258.05,8,9014,2025,Q3-2025,إسبانيا
164120.66,532,9025,2025,Q3-2025,إندونيسيا
2345.97,3,9021,2025,Q3-2025,إندونيسيا
8413951.48,99170.087,8511,2025,Q3-2025,ألمانيا
474.99,4,2309,2025,Q3-2025,الكويت
444584.71,328.362,8484,2025,Q3-2025,إيرلندا
619377.11,256359.6,5602,2025,Q3-2025,تركيا
803142.65,274.76,8517,2025,Q3-2025,بلغاريا
3395.27,2,6214,2025,Q3-2025,بلجيكا
762695.63,10254.722,8480,2025,Q3-2025,الولايات المتحدة
954653,1865.507,8483,2025,Q3-2025,الدنمارك
5712.98,141,8212,2025,Q3-2025,كرواتيا
6764.69,674,2103,2025,Q3-2025,تايوان
22162.87,3.5,5209,2025,Q3-2025,رومانيا
1604493.8879,40754.85,8207,2025,Q3-2025,أستراليا
27991.23,2317.81,6811,2025,Q3-2025,كوريا الجنوبية
2124000,20000,2825,2025,Q3-2025,هولندا
9392.53,191.96,5705,2025,Q3-2025,بنجلادش
227945.0736,447.623,7113,2025,Q3-2025,فيتنام
2927.02,11.5,7013,2025,Q3-2025,عمان
